,Sample Number,Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
171,20,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.2,18.2,195.0,4400.0,MALE,9.27158,-24.64335
172,21,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.4,17.3,181.0,3600.0,FEMALE,9.35138,-24.6879
173,22,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,48.5,17.5,191.0,3400.0,MALE,9.42666,-24.26375
174,23,Chinstrap penguin (Pygoscelis antarctica),Dream,No,43.2,16.6,187.0,2900.0,FEMALE,9.35416,-25.01185
175,24,Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.6,19.4,193.0,3800.0,MALE,9.28153,-24.97134
176,25,Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.7,17.9,195.0,3300.0,FEMALE,9.74144,-24.59467
177,26,Chinstrap penguin (Pygoscelis antarctica),Dream,No,52.0,19.0,197.0,4150.0,MALE,9.36799,-24.47142
178,27,Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.5,18.4,200.0,3400.0,FEMALE,8.9399,-23.89017
179,28,Chinstrap penguin (Pygoscelis antarctica),Dream,No,49.5,19.0,200.0,3800.0,MALE,9.63074,-24.34684
180,29,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.4,17.8,191.0,3700.0,FEMALE,9.37369,-24.52896
181,30,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.8,20.0,205.0,4550.0,MALE,9.25177,-24.69638
182,31,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,40.9,16.6,187.0,3200.0,FEMALE,9.08458,-24.54903
183,32,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,54.2,20.8,201.0,4300.0,MALE,9.49283,-24.59996
184,33,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.5,16.7,187.0,3350.0,FEMALE,9.36668,-24.45195
185,34,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.0,18.8,203.0,4100.0,MALE,9.23196,-24.17282
186,35,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.7,18.6,195.0,3600.0,MALE,9.75486,-24.31198
187,36,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,47.5,16.8,199.0,3900.0,FEMALE,9.07825,-25.1455
188,37,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,47.6,18.3,195.0,3850.0,FEMALE,8.83502,-24.65859
189,38,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.0,20.7,210.0,4800.0,MALE,9.43146,-24.6844
190,39,Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.9,16.6,192.0,2700.0,FEMALE,9.80589,-24.73735
191,40,Chinstrap penguin (Pygoscelis antarctica),Dream,No,53.5,19.9,205.0,4500.0,MALE,10.02544,-24.90816
192,41,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.0,19.5,210.0,3950.0,MALE,9.53262,-24.66867
193,42,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.2,17.5,187.0,3650.0,FEMALE,9.61734,-24.66188
194,43,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.9,19.1,196.0,3550.0,MALE,10.02372,-24.86594
195,44,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.5,17.0,196.0,3500.0,FEMALE,9.36493,-24.66259
196,45,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.9,17.9,196.0,3675.0,FEMALE,9.43684,-24.16566
197,46,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.8,18.5,201.0,4450.0,MALE,9.45827,-24.35575
198,47,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.1,17.9,190.0,3400.0,FEMALE,9.46819,-24.45721
199,48,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189
200,49,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.5,18.7,187.0,3250.0,MALE,9.6895,-24.43062
201,50,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.8,17.3,198.0,3675.0,FEMALE,9.32169,-24.41562
202,51,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,48.1,16.4,199.0,3325.0,FEMALE,9.46929,-24.48403
203,52,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202
204,53,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.7,17.3,193.0,3600.0,FEMALE,9.415,-24.805
205,54,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.7,19.7,203.0,4050.0,MALE,9.93727,-24.59066
206,55,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.5,17.3,187.0,3350.0,FEMALE,9.56534,-24.60882
207,56,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.2,18.8,197.0,3450.0,MALE,9.77528,-24.56481
208,57,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.2,16.6,191.0,3250.0,FEMALE,9.62357,-24.78984
209,58,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.3,19.9,203.0,4050.0,MALE,9.88809,-24.59513
210,59,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.2,18.8,202.0,3800.0,MALE,9.74492,-24.404
211,60,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.6,19.4,194.0,3525.0,FEMALE,9.46985,-24.65786
212,61,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.9,19.5,206.0,3950.0,MALE,,-23.78767
213,62,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.8,16.5,189.0,3650.0,FEMALE,9.65061,-24.48153
214,63,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.7,17.0,195.0,3650.0,FEMALE,9.26715,-24.31912
215,64,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,55.8,19.8,207.0,4000.0,MALE,9.70465,-24.53494
216,65,Chinstrap penguin (Pygoscelis antarctica),Dream,No,43.5,18.1,202.0,3400.0,FEMALE,9.37608,-24.40753
217,66,Chinstrap penguin (Pygoscelis antarctica),Dream,No,49.6,18.2,193.0,3775.0,MALE,9.4618,-24.70615
218,67,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.8,19.0,210.0,4100.0,MALE,9.98044,-24.68741
219,68,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.2,18.7,198.0,3775.0,FEMALE,9.39305,-24.25255
220,1,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.1,13.2,211.0,4500.0,FEMALE,7.993,-25.5139
221,2,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.0,16.3,230.0,5700.0,MALE,8.14756,-25.39369
222,3,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.7,14.1,210.0,4450.0,FEMALE,8.14705,-25.46172
223,4,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.0,15.2,218.0,5700.0,MALE,8.2554,-25.40075
224,5,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.6,14.5,215.0,5400.0,MALE,8.2345,-25.54456
225,6,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,13.5,210.0,4550.0,FEMALE,7.9953,-25.32829
226,7,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.4,14.6,211.0,4800.0,FEMALE,8.24515,-25.46782
227,8,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.7,15.3,219.0,5200.0,MALE,8.22673,-25.4276
228,9,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.3,13.4,209.0,4400.0,FEMALE,8.13643,-25.32176
229,10,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.8,15.4,215.0,5150.0,MALE,8.1631,-25.38017
230,11,Gentoo penguin (Pygoscelis papua),Biscoe,No,40.9,13.7,214.0,4650.0,FEMALE,8.19579,-25.3933
231,12,Gentoo penguin (Pygoscelis papua),Biscoe,No,49.0,16.1,216.0,5550.0,MALE,8.10417,-25.50562
232,13,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.5,13.7,214.0,4650.0,FEMALE,7.77672,-25.4168
233,14,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.4,14.6,213.0,5850.0,MALE,7.8208,-25.48025
234,15,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.8,14.6,210.0,4200.0,FEMALE,7.79958,-25.62618
235,16,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.3,15.7,217.0,5850.0,MALE,8.07137,-25.52473
236,17,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.0,13.5,210.0,4150.0,FEMALE,7.63884,-25.52627
237,18,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.2,15.2,221.0,6300.0,MALE,8.27376,-25.00169
238,19,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.5,209.0,4800.0,FEMALE,7.84057,-25.37899
239,20,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.7,15.1,222.0,5350.0,MALE,7.96491,-25.39587
240,21,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.2,14.3,218.0,5700.0,MALE,7.8962,-25.37746
241,22,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.1,14.5,215.0,5000.0,FEMALE,7.6322,-25.46569
242,23,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,14.5,213.0,4400.0,FEMALE,7.90436,-25.3947
243,24,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.3,15.8,215.0,5050.0,MALE,7.90971,-25.38157
244,25,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.9,13.1,215.0,5000.0,FEMALE,7.68528,-25.39181
245,26,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.1,15.1,215.0,5100.0,MALE,7.83733,-25.42826
246,27,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.5,14.3,216.0,4100.0,,7.96621,-25.69327
247,28,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.8,15.0,215.0,5650.0,MALE,7.92358,-25.48383
248,29,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.2,14.3,210.0,4600.0,FEMALE,7.6887,-25.50811
249,30,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.0,15.3,220.0,5550.0,MALE,8.30515,-25.19017
250,31,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.3,15.3,222.0,5250.0,MALE,,
251,32,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.8,14.2,209.0,4700.0,FEMALE,7.63452,-25.46327
252,33,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.1,14.5,207.0,5050.0,FEMALE,7.97408,-25.53768
253,34,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,59.6,17.0,230.0,6050.0,MALE,7.76843,-25.6821
254,35,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.1,14.8,220.0,5150.0,FEMALE,7.89744,-26.63405
255,36,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.4,16.3,220.0,5400.0,MALE,8.03659,-26.86127
256,37,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.6,13.7,213.0,4950.0,FEMALE,7.96935,-26.70968
257,38,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.4,17.3,219.0,5250.0,MALE,8.13746,-26.79093
258,39,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.0,13.6,208.0,4350.0,FEMALE,8.01979,-26.68311
259,40,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.7,15.7,208.0,5350.0,MALE,8.14776,-26.84506
260,41,Gentoo penguin (Pygoscelis papua),Biscoe,No,42.7,13.7,208.0,3950.0,FEMALE,8.14567,-26.59467
261,42,Gentoo penguin (Pygoscelis papua),Biscoe,No,49.6,16.0,225.0,5700.0,MALE,8.38324,-26.84272
262,43,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.3,13.7,210.0,4300.0,FEMALE,8.37615,-26.72791
263,44,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.6,15.0,216.0,4750.0,MALE,8.26548,-26.7699
264,45,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.5,15.9,222.0,5550.0,MALE,8.46894,-26.60436
265,46,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.6,13.9,217.0,4900.0,FEMALE,8.27141,-26.7765
266,47,Gentoo penguin (Pygoscelis papua),Biscoe,No,45.5,13.9,210.0,4200.0,FEMALE,8.47829,-26.61788
267,48,Gentoo penguin (Pygoscelis papua),Biscoe,No,50.5,15.9,225.0,5400.0,MALE,8.65803,-26.57585
268,49,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.9,13.3,213.0,5100.0,FEMALE,8.45167,-26.89644
269,50,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.2,15.8,215.0,5300.0,MALE,8.55868,-26.67799
270,51,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.6,14.2,210.0,4850.0,FEMALE,8.38289,-26.86352
271,52,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.5,14.1,220.0,5300.0,MALE,8.39867,-26.79358
272,53,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.1,14.4,210.0,4400.0,FEMALE,8.51951,-27.01854
273,54,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.1,15.0,225.0,5000.0,MALE,8.50153,-26.61414
274,55,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,14.4,217.0,4900.0,FEMALE,8.48789,-26.83006
275,56,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.0,15.4,220.0,5050.0,MALE,8.63488,-26.75621
276,57,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.8,13.9,208.0,4300.0,FEMALE,8.58319,-26.84415
277,58,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.5,15.0,220.0,5000.0,MALE,8.63604,-26.7489
278,59,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.2,14.5,208.0,4450.0,FEMALE,8.48367,-26.86485
279,60,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.4,15.3,224.0,5550.0,MALE,8.74647,-26.79846
280,61,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.3,13.8,208.0,4200.0,FEMALE,8.65015,-26.79053
281,62,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.9,221.0,5300.0,MALE,8.60092,-26.84374
282,63,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.7,13.9,214.0,4400.0,FEMALE,8.6287,-26.60484
283,64,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,54.3,15.7,231.0,5650.0,MALE,8.49662,-26.84166
284,65,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.8,14.2,219.0,4700.0,FEMALE,8.60447,-26.61601
285,66,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.8,16.8,230.0,5700.0,MALE,8.47067,-26.69166
286,67,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.4,214.0,4650.0,,8.24253,-26.8154
287,68,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.5,16.2,229.0,5800.0,MALE,8.49854,-26.74809
288,69,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.5,14.2,220.0,4700.0,FEMALE,8.64931,-26.68867
289,70,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.7,15.0,223.0,5550.0,MALE,8.63551,-26.74249
290,71,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.7,15.0,216.0,4750.0,FEMALE,8.53018,-26.72751
291,72,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.4,15.6,221.0,5000.0,MALE,8.35078,-26.70783
292,73,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.2,15.6,221.0,5100.0,MALE,8.24651,-26.66958
293,74,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,14.8,217.0,5200.0,FEMALE,8.58487,-26.5929
294,75,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.4,15.0,216.0,4700.0,FEMALE,8.47938,-26.9547
295,76,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.6,16.0,230.0,5800.0,MALE,8.5964,-26.71199
296,77,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.5,14.2,209.0,4600.0,FEMALE,8.39299,-26.78733
297,78,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.1,16.3,220.0,6000.0,MALE,8.40327,-26.76821
298,79,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.2,13.8,215.0,4750.0,FEMALE,8.24694,-26.65359
299,80,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.2,16.4,223.0,5950.0,MALE,8.19749,-26.65931
300,81,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.1,14.5,212.0,4625.0,FEMALE,8.35802,-26.2766
301,82,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.5,15.6,221.0,5450.0,MALE,8.28601,-26.27573
302,83,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.4,14.6,212.0,4725.0,FEMALE,8.19101,-26.24369
303,84,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.0,15.9,224.0,5350.0,MALE,8.20042,-26.39677
304,85,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.9,13.8,212.0,4750.0,FEMALE,8.11238,-26.20372
305,86,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.8,17.3,228.0,5600.0,MALE,8.27428,-26.30019
306,87,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.4,14.4,218.0,4600.0,FEMALE,8.23468,-26.18599
307,88,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.3,14.2,218.0,5300.0,MALE,8.15426,-26.3433
308,89,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.5,14.0,212.0,4875.0,FEMALE,8.12691,-26.23613
309,90,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.1,17.0,230.0,5550.0,MALE,8.27595,-26.11657
310,91,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.5,15.0,218.0,4950.0,FEMALE,8.29671,-26.08547
311,92,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.2,17.1,228.0,5400.0,MALE,8.36701,-25.89834
312,93,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.5,14.5,212.0,4750.0,FEMALE,8.15566,-26.22848
313,94,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.5,16.1,224.0,5650.0,MALE,8.83352,-25.69195
314,95,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.5,14.7,214.0,4850.0,FEMALE,8.20106,-26.16524
315,96,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.8,15.7,226.0,5200.0,MALE,8.27102,-26.11244
316,97,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.4,15.8,216.0,4925.0,MALE,8.03624,-26.06594
317,98,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.9,14.6,222.0,4875.0,FEMALE,7.8881,-26.04726
318,99,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.4,14.4,203.0,4625.0,FEMALE,8.16582,-26.13971
319,100,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.1,16.5,225.0,5250.0,MALE,8.2066,-26.36863
320,101,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.5,15.0,219.0,4850.0,FEMALE,8.10231,-26.18763
321,102,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,55.9,17.0,228.0,5600.0,MALE,8.3118,-26.35425
322,103,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.2,15.5,215.0,4975.0,FEMALE,8.30817,-26.21651
323,104,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.1,15.0,228.0,5500.0,MALE,8.65914,-25.79203
324,105,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.3,13.8,216.0,4725.0,,8.25818,-26.23886
325,106,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.8,16.1,215.0,5500.0,MALE,8.32359,-26.05756
326,107,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,41.7,14.7,210.0,4700.0,FEMALE,8.12311,-26.44815
327,108,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,53.4,15.8,219.0,5500.0,MALE,8.41017,-26.33867
328,109,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.3,14.0,208.0,4575.0,FEMALE,8.4207,-26.38092
329,110,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.1,15.1,209.0,5500.0,MALE,8.45738,-26.22664
330,111,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.5,15.2,216.0,5000.0,FEMALE,8.24691,-26.18466
331,112,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.8,15.9,229.0,5950.0,MALE,8.29226,-26.21019
332,113,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.5,15.2,213.0,4650.0,FEMALE,8.21634,-26.11046
333,114,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.5,16.3,230.0,5500.0,MALE,8.78557,-25.76147
334,115,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.1,217.0,4375.0,FEMALE,8.30231,-25.96013
335,116,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,55.1,16.0,230.0,5850.0,MALE,8.08354,-26.18161
336,117,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.5,15.7,217.0,4875.0,.,8.04111,-26.18444
337,118,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.8,16.2,222.0,6000.0,MALE,8.33825,-25.88547
338,119,Gentoo penguin (Pygoscelis papua),Biscoe,No,47.2,13.7,214.0,4925.0,FEMALE,7.99184,-26.20538
339,120,Gentoo penguin (Pygoscelis papua),Biscoe,No,,,,,,,
340,121,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.8,14.3,215.0,4850.0,FEMALE,8.41151,-26.13832
341,122,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.4,15.7,222.0,5750.0,MALE,8.30166,-26.04117
342,123,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.2,14.8,212.0,5200.0,FEMALE,8.24246,-26.11969
343,124,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.9,16.1,213.0,5400.0,MALE,8.3639,-26.15531
