college,Latitude,Longitude,Name,TARGET_5Yrs
Duke University,36.0014258,-78.9382286,Brandon Ingram,0
University of Kentucky,38.0306511,-84.5039697,Andrew Harrison,0
St. John's University,40.6213742,-74.0908179,JaKarr Sampson,0
St. John's University,40.6213742,-74.0908179,Malik Sealy,1
Georgia Institute of Technology,33.7756178,-84.396285,Matt Geiger,1
University of Wisconsin-Green Bay,44.5312764,-87.9237615,Tony Bennett,0
"University of California, Los Angeles",34.068921,-118.4451811,Don MacLean,1
"University of California, Los Angeles",34.068921,-118.4451811,Tracy Murray,1
University of Southern California,34.0223519,-118.285117,Duane Cooper,0
Syracuse University,43.0391534,-76.1351158,Dave Johnson,0
Oklahoma State University,36.1270236,-97.0737222,Corey Williams,0
University of Houston,29.7199489,-95.3422334,Sam Mack,1
Stetson University,29.0348652,-81.3009159,Lorenzo Williams,1
University of North Carolina,35.9049122,-79.0469134,P.J. Hairston,0
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Elmore Spencer,1
University of Virginia,38.0335529,-78.5079772,John Crotty,1
DePaul University,41.924189,-87.6541657,Stephen Howard,0
La Salle University,40.0390398,-75.1558184,Randy Woods,0
Syracuse University,43.0391534,-76.1351158,Billy Owens,1
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Stacey Augmon,1
Temple University,39.9805942,-75.1557376,Mark Macon,1
La Salle University,40.0390398,-75.1558184,Steven Smith,0
University of Michigan,42.2780436,-83.7382241,Mitch McGary,0
Coppin State University,39.3126011,-76.6579973,Larry Stewart,1
Saint Francis University,40.50382,-78.6376191,Mike Iuzzolino,0
University of Missouri,38.9403808,-92.3277375,Doug Smith,1
Ohio University,39.324358,-82.1013889,Paul Graham,0
Temple University,39.9805942,-75.1557376,Donald Hodge,1
Clemson University,34.673407,-82.8367119,Dale Davis,1
Louisiana State University,30.4132579,-91.1800023,Stanley Roberts,1
University of Oregon,44.0448302,-123.0726055,Terrell Brandon,1
University of Arizona,32.2318851,-110.9501094,Bison Dele,1
University of Colorado,40.007581,-105.2659417,Spencer Dinwiddie,0
University of Tulsa,36.1520526,-95.9460753,Tracy Moore,1
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Greg Anthony,1
Georgia Institute of Technology,33.7756178,-84.396285,Kenny Anderson,1
Iowa State University,42.0266573,-93.6464516,Victor Alexander,1
University of Alabama,33.2140233,-87.5391418,David Benoit,1
University of Minnesota,44.97399,-93.2277285,Kevin Lynch,0
University of Louisville,38.2122761,-85.7585023,LaBradford Smith,0
North Carolina State University,35.7846633,-78.6820946,Chris Corchiani,0
"University of California, Los Angeles",34.068921,-118.4451811,Travis Wear,0
University of Southern California,34.0223519,-118.285117,Robert Pack,1
University of North Carolina,35.9049122,-79.0469134,Pete Chilcutt,1
Old Dominion University,36.8853052,-76.3058746,Chris Gatling,1
Florida State University,30.4418778,-84.2984889,Tharon Mayes,0
Providence College,41.8415128,-71.433591,Eric Murdock,1
New Mexico State University,32.2792887,-106.7491391,Randy Brown,1
Oral Roberts University,36.0507991,-95.9536715,Greg Sutton,0
University of Memphis,35.1187498,-89.9374928,Elliot Perry,1
Providence College,41.8415128,-71.433591,Marty Conlon,1
North Carolina State University,35.7846633,-78.6820946,Rodney Monroe,0
Phillips University,36.3969163,-97.8774749,John Turner,0
University of Kansas,38.9543439,-95.2557961,Mark Randall,0
Iona College,40.9270597,-73.7863494,Sean Green,0
University of Louisiana at Lafayette,30.2114404,-92.0204121,Kevin Brooks,0
Purdue University,40.4237054,-86.9211946,Doug Lee,0
Kentucky Wesleyan College,37.7435478,-87.1201839,Corey Crowder,0
University of Nebraska,40.8201966,-96.7004763,Rich King,0
Syracuse University,43.0391534,-76.1351158,Stephen Thompson,0
Eastern Michigan University,42.2506803,-83.624089,Charles Thomas,0
La Salle University,40.0390398,-75.1558184,Lionel Simmons,1
Michigan State University,42.701848,-84.4821719,Gary Harris,0
Syracuse University,43.0391534,-76.1351158,Derrick Coleman,1
University of Texas at Austin,30.2849185,-97.7340567,Travis Mays,0
Georgia Institute of Technology,33.7756178,-84.396285,Dennis Scott,1
University of Louisville,38.2122761,-85.7585023,Felton Spencer,1
University of Minnesota,44.97399,-93.2277285,Willie Burton,1
University of Illinois at Urbana-Champaign,40.1019523,-88.2271615,Kendall Gill,1
Temple University,39.9805942,-75.1557376,Duane Causwell,1
Louisiana State University,30.4132579,-91.1800023,Mahmoud Abdul-Rauf,1
Virginia Union University,37.5626214,-77.4513784,A.J. English,0
Duke University,36.0014258,-78.9382286,Danny Ferry,1
American International College,42.1129218,-72.5573236,Mario Elie,1
University of Arizona,32.2318851,-110.9501094,Anthony Cook,0
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Gerald Paddio,0
Virginia Polytechnic Institute and State University,37.2283843,-80.4234167,Bimbo Coles,1
Loyola Marymount University,33.9691953,-118.4188984,Bo Kimble,0
University of Georgia,33.9480053,-83.3773221,Alec Kessler,0
University of Michigan,42.2780436,-83.7382241,Loy Vaught,1
Xavier University,39.1499074,-84.4740892,Tyrone Hill,1
University of Illinois at Urbana-Champaign,40.1019523,-88.2271615,Marcus Liberty,0
University of Michigan,42.2780436,-83.7382241,Terry Mills,1
University of Virginia,38.0335529,-78.5079772,Jamal Robinson,0
St. Mary's University,29.4523378,-98.5640981,Henry James,1
University of Maryland,38.9869183,-76.9425543,Jerrod Mustaf,0
University of Kansas,38.9543439,-95.2557961,Kevin Pritchard,0
University of Mississippi,34.3647349,-89.5383818,Gerald Glass,0
Centenary College of Louisiana,32.4847432,-93.7321556,Larry Robinson,1
University of Arizona,32.2318851,-110.9501094,Jud Buechler,1
"California State University, Fullerton",33.8823476,-117.8851033,Cedric Ceballos,1
"University of California, Los Angeles",34.068921,-118.4451811,Kyle Anderson,0
University of Texas at El Paso,31.7731979,-106.5047208,Greg Foster,1
Georgia Institute of Technology,33.7756178,-84.396285,Brian Oliver,0
Stanford University,37.4274745,-122.169719,Howard Wright,0
Marquette University,43.038456,-87.9311302,Tony Smith,1
University of Connecticut,41.8077414,-72.2539805,Tate George,0
University of Kansas,38.9543439,-95.2557961,Rick Calloway,0
Kansas State University,39.1974437,-96.5847249,Steve Henson,1
Brigham Young University,40.2518435,-111.6493156,Andy Toolson,0
St. John's University,40.6213742,-74.0908179,Jayson Williams,1
Averett University,36.5783823,-79.4133799,Kennard Winchester,0
Louisiana State University,30.4132579,-91.1800023,Johnny O'Bryant,0
University of Florida,29.6436325,-82.3549302,Dwayne Schintzius,1
University of Michigan,42.2780436,-83.7382241,Sean Higgins,1
Clemson University,34.673407,-82.8367119,Elden Campbell,1
Elizabeth City State University,36.281065,-76.2139598,Kenny Williams,0
University of Alabama,33.2140233,-87.5391418,Keith Askins,1
University of North Carolina,35.9049122,-79.0469134,Scott Williams,1
University of Minnesota,44.97399,-93.2277285,Richard Coffey,0
Purdue University,40.4237054,-86.9211946,Steve Scheffler,1
University of Kentucky,38.0306511,-84.5039697,James Young,0
University of North Carolina,35.9049122,-79.0469134,J.R. Reid,1
"University of California, Los Angeles",34.068921,-118.4451811,Pooh Richardson,1
Syracuse University,43.0391534,-76.1351158,Sherman Douglas,1
Mercer University,32.8288186,-83.6497769,Sam Mitchell,1
University of Oklahoma,35.2058936,-97.4457137,Mookie Blaylock,1
University of Arizona,32.2318851,-110.9501094,Sean Elliott,1
East Carolina University,35.6068806,-77.3665364,Blue Edwards,1
Baylor University,31.5488923,-97.1130573,Cory Jefferson,0
University of Illinois at Urbana-Champaign,40.1019523,-88.2271615,Nick Anderson,1
University of Oklahoma,35.2058936,-97.4457137,Stacey King,1
Boston College,42.3355488,-71.1684945,Dana Barros,1
Murray State University,36.6163842,-88.3214979,Jeff Martin,0
University of Connecticut,41.8077414,-72.2539805,Clifford Robinson,1
University of Kentucky,38.0306511,-84.5039697,Winston Bennett,0
North Carolina State University,35.7846633,-78.6820946,Chucky Brown,1
University of Alabama,33.2140233,-87.5391418,Michael Ansley,0
Stanford University,37.4274745,-122.169719,Todd Lichti,1
Indiana University,39.1754487,-86.512627,Noah Vonleh,0
University of Iowa,41.6627078,-91.5549771,B.J. Armstrong,1
Virginia Union University,37.5626214,-77.4513784,Terry Davis,1
Trinity Valley Community College,32.196228,-95.8588867,Shawn Kemp,1
Georgia Institute of Technology,33.7756178,-84.396285,Tom Hammonds,1
University of Evansville,37.9733172,-87.5318644,Scott Haffner,0
Louisiana Tech University,32.5282644,-92.6499298,Randy White,1
University of Illinois at Urbana-Champaign,40.1019523,-88.2271615,Kenny Battle,0
University of Notre Dame,41.6991133,-86.2387627,Donald Royal,1
Syracuse University,43.0391534,-76.1351158,Michael Carter-Williams,0
Wake Forest University,36.1355052,-80.2791958,Delaney Rudd,0
Seton Hall University,40.7430841,-74.246082,John Morton,0
Trenton State University,40.220262,-74.768303,Greg Grant,1
University of Tennessee,35.9544013,-83.9294564,Doug Roth,0
University of Missouri,38.9403808,-92.3277375,Byron Irvin,0
Florida State University,30.4418778,-84.2984889,George McCloud,1
"California State University, Fullerton",33.8823476,-117.8851033,Henry Turner,0
University of Iowa,41.6627078,-91.5549771,Ed Horton,0
University of Michigan,42.2780436,-83.7382241,Trey Burke,0
Vanderbilt University,36.1447034,-86.8026551,Frank Kornet,0
Villanova University,40.0368926,-75.3425785,Doug West,1
Lamar University,30.0392256,-94.0747071,Adrian Caldwell,1
University of Louisville,38.2122761,-85.7585023,Kenny Payne,0
University of Nebraska,40.8201966,-96.7004763,Eric Johnson,0
Bradley University,40.6977743,-89.6153484,Mike Williams,0
Loyola College in Maryland,39.3476737,-76.6172375,Mike Morrison,0
University of Tampa,27.9468757,-82.4672266,Nate Johnston,0
University of Georgia,33.9480053,-83.3773221,Willie Anderson,1
Indiana University,39.1754487,-86.512627,Victor Oladipo,0
Bradley University,40.6977743,-89.6153484,Hersey Hawkins,1
DePaul University,41.877575,-87.6272176,Kevin Edwards,1
Eastern Michigan University,42.2506803,-83.624089,Grant Long,1
University of Kentucky,38.0306511,-84.5039697,Rex Chapman,1
"University of California, Santa Barbara",34.4139629,-119.848947,Brian Shaw,1
Auburn University,32.5933574,-85.4951663,Chris Morris,1
University of Michigan,42.2780436,-83.7382241,Gary Grant,1
University of Florida,29.6436325,-82.3549302,Vernon Maxwell,1
University of Kansas,38.9543439,-95.2557961,Ben McLemore,0
Central Michigan University,43.5911786,-84.7753308,Dan Majerle,1
University of Memphis,35.1187498,-89.9374928,Sylvester Gray,0
San Jose State University,37.3351874,-121.8810715,Ricky Berry,0
University of Rhode Island,41.4860647,-71.5308537,Tom Garrick,0
University of Utah,40.7649368,-111.8421021,Kelvin Upshaw,0
University of Missouri,38.9403808,-92.3277375,Derrick Chievous,0
University of New Orleans,30.0302281,-90.0631789,Ledell Eackles,1
University of Oklahoma,35.2058936,-97.4457137,Harvey Grant,1
DePaul University,41.877575,-87.6272176,Rod Strickland,1
"University of California, Irvine",33.6404952,-117.8442962,Scott Brooks,1
Purdue University,40.4237054,-86.9211946,Todd Mitchell,0
University of Minnesota,44.97399,-93.2277285,John Shasky,0
St. John's University,40.6213742,-74.0908179,Shelton Jones,0
University of Wyoming,41.3148754,-105.5665744,Eric Leckner,1
University of Pittsburgh,40.4443533,-79.960835,Jerome Lane,1
Temple University,39.9805942,-75.1557376,Tim Perry,1
Bradley University,40.6977743,-89.6153484,Jim Les,1
Georgia Institute of Technology,33.7756178,-84.396285,Craig Neal,0
University of Notre Dame,41.6991133,-86.2387627,David Rivers,0
Oklahoma State University,36.1270236,-97.0737222,John Starks,1
University of Arkansas,36.0686895,-94.1748471,Andrew Lang,1
University of Iowa,41.6627078,-91.5549771,Bill Jones,0
North Carolina State University,35.7846633,-78.6820946,Charles Shackleford,1
"California State University, Long Beach",33.7838235,-118.1140904,Morlon Wiley,1
University of Southern Mississippi,31.3298668,-89.3334535,Randolph Keys,1
Indiana University,39.1754487,-86.512627,Troy Williams,0
Georgetown University,38.9076089,-77.0722585,Hollis Thompson,0
University of New Orleans,30.0302281,-90.0631789,Ron Grandison,0
Baylor University,31.5488923,-97.1130573,Micheal Williams,1
Pepperdine University,34.0414045,-118.7095814,Anthony Frederick,0
Southern University and A&M College,30.5265222,-91.1929407,Avery Johnson,1
Purdue University,40.4237054,-86.9211946,Everette Stephens,0
"University of California, Los Angeles",34.068921,-118.4451811,Jack Haley,1
Georgia Institute of Technology,33.7756178,-84.396285,Duane Ferrell,1
St. John's University,40.6213742,-74.0908179,Mark Jackson,1
University of North Carolina,35.9049122,-79.0469134,Kenny Smith,1
South Dakota State University,44.3191071,-96.7835182,Nate Wolters,0
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Armen Gilliam,1
Missouri State University,37.2005546,-93.2806806,Winston Garland,1
University of North Carolina,35.9049122,-79.0469134,Joe Wolf,1
University of Houston,29.7199489,-95.3422334,Greg Anderson,1
University of California,34.068921,-118.4451811,Kevin Johnson,1
Clemson University,34.673407,-82.8367119,Horace Grant,1
Ohio State University,40.0066723,-83.0304546,Dennis Hopson,1
University of Illinois at Urbana-Champaign,40.1019523,-88.2271615,Ken Norman,1
Duke University,36.0014258,-78.9382286,Ryan Kelly,0
University of Alabama,33.2140233,-87.5391418,Derrick McKey,1
Wake Forest University,36.1355052,-80.2791958,Muggsy Bogues,1
Western Kentucky University,36.9847153,-86.4559991,Tellis Frank,1
George Mason University,38.8298118,-77.3073606,Ricky Wilson,0
University of Nebraska,40.8201966,-96.7004763,Dave Hoppen,1
DePaul University,41.924189,-87.6541657,Dallas Comegys,0
Oral Roberts University,36.0507991,-95.9536715,Mark Acres,1
Georgetown University,38.9076089,-77.0722585,Michael Jackson,0
University of Tennessee,35.9544013,-83.9294564,Tony White,0
University of Iowa,41.6627078,-91.5549771,Brad Lohaus,1
University of Louisville,38.2122761,-85.7585023,Milt Wagner,0
Yale University,41.3163244,-72.9223431,Chris Dudley,1
William Paterson University,40.9473619,-74.1967319,Clinton Wheeler,0
Providence College,41.8415128,-71.433591,Billy Donovan,0
Northeastern University,42.3398067,-71.0891717,Reggie Lewis,1
Duke University,36.0014258,-78.9382286,Martin Nessley,0
University of Montana,46.8600672,-113.9852081,John Stroeder,0
University of Nebraska at Kearney,40.7011879,-99.1014292,Bart Kofoed,1
University of Detroit Mercy,42.4140934,-83.1379434,Ray McCallum,0
La Salle University,40.0390398,-75.1558184,Ralph Lewis,0
Miami University,39.5087485,-84.7344915,Ron Harper,1
Auburn University,32.5933574,-85.4951663,Chuck Person,1
University of North Carolina,35.9049122,-79.0469134,Brad Daugherty,1
North Carolina State University,35.7846633,-78.6820946,Nate McMillan,1
University of Kentucky,38.0306511,-84.5039697,Kenny Walker,1
St. John's University,40.6213742,-74.0908179,Walter Berry,0
Louisiana State University,30.4132579,-91.1800023,John Williams,1
University of Georgia,33.9480053,-83.3773221,Kentavious Caldwell-Pope,0
Ohio State University,40.0066723,-83.0304546,Brad Sellers,1
Georgetown University,38.9076089,-77.0722585,David Wingate,1
Duke University,36.0014258,-78.9382286,Johnny Dawkins,1
University of Memphis,35.1187498,-89.9374928,William Bedford,1
Iowa State University,42.0266573,-93.6464516,Jeff Hornacek,1
University of Michigan,42.2780436,-83.7382241,Roy Tarpley,1
Georgia Institute of Technology,33.7756178,-84.396285,Mark Price,1
Georgia Institute of Technology,33.7756178,-84.396285,John Salley,1
Duke University,36.0014258,-78.9382286,Mark Alarie,1
University of Maryland,38.9869183,-76.9425543,Ben Coleman,1
University of Montana,46.8600672,-113.9852081,Larry Krystkowiak,1
Old Dominion University,36.8853052,-76.3058746,Kenny Gattison,1
University of Notre Dame,41.6991133,-86.2387627,Tim Kempton,1
Villanova University,40.0368926,-75.3425785,Harold Pressley,0
Eastern Illinois University,39.4780295,-88.175905,Kevin Duckworth,1
"University of Nevada, Las Vegas",36.1074857,-115.1434507,Anthony Jones,0
George Washington University,38.8997145,-77.0485992,Mike Brown,1
Pepperdine University,34.0414045,-118.7095814,Grant Gondrezick,0
University of Louisville,38.2122761,-85.7585023,Billy Thompson,1
Duke University,36.0014258,-78.9382286,Mason Plumlee,0
Syracuse University,43.0391534,-76.1351158,Rafael Addison,1
North Carolina State University,35.7846633,-78.6820946,Chris Washburn,0
Loyola Marymount University,33.9691953,-118.4188984,Keith Smith,0
University of Richmond,37.5751669,-77.5407146,Johnny Newman,1
"University of California, Irvine",33.6404952,-117.8442962,Johnny Rogers,0
Virginia Polytechnic Institute and State University,37.2283843,-80.4234167,Dell Curry,1
University of Alabama,33.2140233,-87.5391418,Buck Johnson,1
Cleveland State University,41.5027643,-81.674423,Clinton Smith,0
University of Texas at El Paso,31.7731979,-106.5047208,Dave Feitl,1
"University of California, Santa Barbara",34.4139629,-119.848947,Conner Henry,0
Wichita State University,37.7186367,-97.2941414,Xavier McDaniel,1
University of Oklahoma,35.2058936,-97.4457137,Wayman Tisdale,1
Creighton University,41.2655521,-95.9463862,Benoit Benjamin,1
University of Tennessee at Chattanooga,35.0458509,-85.2953072,Gerald Wilkins,1
Indiana University,39.1754487,-86.512627,Cody Zeller,0
Virginia Union University,37.5626214,-77.4513784,Charles Oakley,1
Southern Methodist University,32.8412178,-96.7845175,Jon Koncak,1
University of Memphis,35.1187498,-89.9374928,Keith Lee,0
Villanova University,40.0368926,-75.3425785,Ed Pinckney,1
Oregon State University,44.5637806,-123.2794443,A.C. Green,1
"University of California, Irvine",33.6404952,-117.8442962,Bob Thornton,1
University of South Alabama,30.6959406,-88.184236,Terry Catledge,1
North Carolina State University,35.7846633,-78.6820946,Spud Webb,1
University of Wisconsin-Stevens Point,44.5294491,-89.5713776,Terry Porter,1
University of Washington,47.6553351,-122.3035199,Marquese Chriss,0
University of Florida,29.6436325,-82.3549302,Nick Calathes,0
Long Island University,40.691145,-73.9805528,Carey Scurry,0
University of Kentucky,38.0306511,-84.5039697,Dirk Minniefield,0
University of Arkansas,36.0686895,-94.1748471,Joe Kleine,1
Loyola University of Chicago,41.9989483,-87.6582592,Alfredrick Hughes,0
University of Arizona,32.2318851,-110.9501094,Pete Williams,0
Georgetown University,38.9076089,-77.0722585,Bill Martin,0
University of New Mexico,35.0843187,-106.6197812,Tony Snell,0
Eastern Michigan University,42.2506803,-83.624089,Fred Cofield,0
Villanova University,40.0368926,-75.3425785,Dwayne McClain,0
Rutgers University,40.5008405,-74.4474174,John Battle,1
Louisiana State University,30.4132579,-91.1800023,Jerry Reynolds,1
University of Tulsa,36.1520526,-95.9460753,Steve Harris,1
North Carolina State University,35.7846633,-78.6820946,Lorenzo Charles,0
Michigan State University,42.701848,-84.4821719,Sam Vincent,1
University of Oregon,44.0448302,-123.0726055,Blair Rasmussen,1
University of Missouri,38.9403808,-92.3277375,Phil Pressey,0
University of Georgia,33.9480053,-83.3773221,Vern Fleming,1
University of Kentucky,38.0306511,-84.5039697,Sam Bowie,1
University of North Carolina,35.9049122,-79.0469134,Sam Perkins,1
University of Colorado,40.007581,-105.2659417,Jay Humphries,1
University of Kentucky,38.0306511,-84.5039697,Melvin Turpin,1
Providence College,41.8415128,-71.433591,Otis Thorpe,1
Michigan State University,42.701848,-84.4821719,Kevin Willis,1
San Diego State University,32.7773786,-117.0714386,Michael Cage,1
University of Arkansas,36.0686895,-94.1748471,Alvin Robertson,1
University of Michigan,42.2780436,-83.7382241,Tim McCormick,1
Vanderbilt University,36.1447034,-86.8026551,Jeff Turner,1
University of Arkansas,36.0686895,-94.1748471,Tony Brown,1
Wichita State University,37.7186367,-97.2941414,Antoine Carr,1
New Mexico State University,32.2792887,-106.7491391,Steve Colter,1
Saint Augustine's College,35.7876962,-78.6188766,Ken Bannister,1
